"job_country","total_jobs"
"United States","206943"
"India","51197"
"United Kingdom","40439"
"France","40028"
"Germany","27782"
"Spain","25123"
"Singapore","23702"
"Sudan","21519"
"Netherlands","20673"
"Italy","17073"
"Canada","16083"
"Mexico","15182"
"Poland","14855"
"Portugal","14588"
"Australia","12966"
"South Africa","12573"
"Belgium","12160"
"Philippines","11788"
"Ireland","11163"
"Switzerland","9970"
"Austria","9775"
"Malaysia","9236"
"Argentina","8771"
"Chile","8126"
"Hong Kong","7860"
"Colombia","7777"
"United Arab Emirates","7604"
"Brazil","7047"
"Denmark","7035"
"Costa Rica","6383"
"Sweden","6312"
"Peru","6193"
"Israel","4883"
"Czechia","4621"
"Thailand","4160"
"Russia","3745"
"Romania","3740"
"Saudi Arabia","3406"
"Indonesia","3009"
"Egypt","2920"
"China","2569"
"Finland","2557"
"New Zealand","2462"
"Vietnam","2423"
"Hungary","2404"
"Luxembourg","2180"
"Pakistan","2156"
"Japan","2078"
"Greece","2048"
"Ukraine","1898"
"Puerto Rico","1717"
"Kenya","1715"
"Norway","1694"
"South Korea","1686"
"Lithuania","1516"
"Taiwan","1495"
"Qatar","1400"
"Uruguay","1396"
"Turkey","1367"
"Bulgaria","1226"
"Morocco","1218"
"Panama","1158"
"Nigeria","1052"
"Serbia","1021"
"Slovakia","962"
"Jordan","952"
"Cyprus","779"
"Sri Lanka","736"
"Malta","712"
"Tunisia","707"
"Kuwait","703"
"Ecuador","654"
"Kazakhstan","631"
"Estonia","591"
"Belarus","541"
"Dominican Republic","474"
"Lebanon","464"
"Namibia","411"
"Latvia","394"
"Croatia","374"
"Bahrain","351"
"Uzbekistan","331"
"Uganda","328"
"Guatemala","303"
"Armenia","290"
"Bangladesh","278"
"Ghana","272"
"Nepal","271"
"Guam","246"
"Moldova","235"
"Mauritius","233"
"U.S. Virgin Islands","225"
"Slovenia","207"
"Oman","193"
"Jamaica","163"
"El Salvador","137"
"Macedonia (FYROM)","130"
"Iraq","117"
"Albania","114"
"Algeria","110"
"Senegal","108"
"Nicaragua","105"
"Zambia","103"
"Ethiopia","93"
"Kyrgyzstan","83"
"Azerbaijan","81"
"Honduras","78"
"Cambodia","77"
"Zimbabwe","75"
"Venezuela","74"
"Bahamas","70"
"Rwanda","61"
"Réunion","60"
"Paraguay","59"
"Bolivia","59"
"Trinidad and Tobago","57"
"Myanmar","54"
"Côte d'Ivoire","53"
"","52"
"Liberia","49"
"Bosnia and Herzegovina","49"
"Tanzania","49"
"Montenegro","46"
"Congo, Democratic Republic of the","42"
"Iceland","42"
"Mongolia","40"
"Libya","39"
"Benin","38"
"Botswana","31"
"Haiti","28"
"Malawi","26"
"Cameroon","23"
"Suriname","23"
"Mozambique","21"
"Cayman Islands","19"
"Barbados","19"
"Burkina Faso","19"
"Afghanistan","18"
"Togo","16"
"Palestine","15"
"Brunei","15"
"Somalia","13"
"Angola","12"
"Fiji","12"
"Tajikistan","12"
"Madagascar","12"
"Yemen","11"
"Mali","10"
"Djibouti","9"
"Laos","8"
"Guinea","8"
"Mauritania","6"
"Gambia","6"
"Papua New Guinea","6"
"Guyana","6"
"Northern Mariana Islands","5"
"Guadeloupe","5"
"Lesotho","4"
"Curaçao","3"
"Maldives","2"
"Bhutan","2"
