"job_title_short","skills","total_jobs"
"Business Analyst","sql","179"
"Business Analyst","power bi","97"
"Business Analyst","excel","86"
"Business Analyst","python","75"
"Business Analyst","tableau","60"
"Cloud Engineer","python","85"
"Cloud Engineer","aws","60"
"Cloud Engineer","sql","55"
"Cloud Engineer","azure","53"
"Cloud Engineer","kubernetes","37"
"Data Analyst","sql","543"
"Data Analyst","python","378"
"Data Analyst","tableau","213"
"Data Analyst","power bi","207"
"Data Analyst","r","190"
"Data Engineer","python","1093"
"Data Engineer","sql","988"
"Data Engineer","azure","737"
"Data Engineer","aws","556"
"Data Engineer","gcp","392"
"Data Scientist","python","636"
"Data Scientist","sql","506"
"Data Scientist","r","298"
"Data Scientist","aws","171"
"Data Scientist","azure","139"
"Machine Learning Engineer","python","185"
"Machine Learning Engineer","pytorch","89"
"Machine Learning Engineer","tensorflow","85"
"Machine Learning Engineer","gcp","71"
"Machine Learning Engineer","azure","66"
"Senior Data Analyst","sql","70"
"Senior Data Analyst","python","64"
"Senior Data Analyst","r","42"
"Senior Data Analyst","tableau","40"
"Senior Data Analyst","power bi","31"
"Senior Data Engineer","python","210"
"Senior Data Engineer","sql","200"
"Senior Data Engineer","aws","153"
"Senior Data Engineer","azure","136"
"Senior Data Engineer","gcp","101"
"Senior Data Scientist","python","168"
"Senior Data Scientist","sql","131"
"Senior Data Scientist","aws","53"
"Senior Data Scientist","spark","40"
"Senior Data Scientist","r","38"
"Software Engineer","python","285"
"Software Engineer","aws","227"
"Software Engineer","kubernetes","199"
"Software Engineer","docker","192"
"Software Engineer","sql","188"
