"job_title_short","skills","total_jobs","rank"
"Business Analyst","sql","179","1"
"Business Analyst","power bi","97","2"
"Business Analyst","excel","86","3"
"Business Analyst","python","75","4"
"Business Analyst","tableau","60","5"
"Cloud Engineer","python","85","1"
"Cloud Engineer","aws","60","2"
"Cloud Engineer","sql","55","3"
"Cloud Engineer","azure","53","4"
"Cloud Engineer","kubernetes","37","5"
"Data Analyst","sql","543","1"
"Data Analyst","python","378","2"
"Data Analyst","tableau","213","3"
"Data Analyst","power bi","207","4"
"Data Analyst","r","190","5"
"Data Engineer","python","1093","1"
"Data Engineer","sql","988","2"
"Data Engineer","azure","737","3"
"Data Engineer","aws","556","4"
"Data Engineer","gcp","392","5"
"Data Scientist","python","636","1"
"Data Scientist","sql","506","2"
"Data Scientist","r","298","3"
"Data Scientist","aws","171","4"
"Data Scientist","azure","139","5"
"Machine Learning Engineer","python","185","1"
"Machine Learning Engineer","pytorch","89","2"
"Machine Learning Engineer","tensorflow","85","3"
"Machine Learning Engineer","gcp","71","4"
"Machine Learning Engineer","azure","66","5"
"Senior Data Analyst","sql","70","1"
"Senior Data Analyst","python","64","2"
"Senior Data Analyst","r","42","3"
"Senior Data Analyst","tableau","40","4"
"Senior Data Analyst","power bi","31","5"
"Senior Data Engineer","python","210","1"
"Senior Data Engineer","sql","200","2"
"Senior Data Engineer","aws","153","3"
"Senior Data Engineer","azure","136","4"
"Senior Data Engineer","gcp","101","5"
"Senior Data Scientist","python","168","1"
"Senior Data Scientist","sql","131","2"
"Senior Data Scientist","aws","53","3"
"Senior Data Scientist","spark","40","4"
"Senior Data Scientist","r","38","5"
"Software Engineer","python","285","1"
"Software Engineer","aws","227","2"
"Software Engineer","kubernetes","199","3"
"Software Engineer","docker","192","4"
"Software Engineer","sql","188","5"
